id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,,model_no
1235519,21,"-37.79564672738665, 144.92489593979033",Sign - Public Transport 1 Panel Bus Stop Type 12,,,,-37.79564673,144.92489593979033,,,,1,1,0,,,,,,"{""coordinates"": [144.92489593979033, -37.79564672738665], ""type"": ""Point""}",0,10.9475722,204,Signage,Sign - Public Transport,8935,,568579,,Sign - Public Transport 1 Panel,1235519,21749,,P.16
1232670,21,"-37.82725097105045, 144.95787041193037",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82725097,144.95787041193037,,,,1,1,0,,,,,,"{""coordinates"": [144.95787041193037, -37.82725097105045], ""type"": ""Point""}",0,37.24941515,357,Signage,Sign - Public Transport,9970,,664059,,Sign - Public Transport 1 Panel,1232670,22016,,P.16
1257205,21,"-37.805396239323905, 144.9520285962586",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80539624,144.9520285962586,,,,1,1,0,,,,,,"{""coordinates"": [144.9520285962586, -37.805396239323905], ""type"": ""Point""}",0,11.15153124,93,Signage,Sign - Public Transport,11093,,533907,,Sign - Public Transport 1 Panel,1257205,20979,,P.16
1234310,21,"-37.790425430580804, 144.94352558479113",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79042543,144.94352558479113,,,,1,1,0,,,,,,"{""coordinates"": [144.94352558479113, -37.790425430580804], ""type"": ""Point""}",0,30.53653951,68,Signage,Sign - Public Transport,12044,,525732,,Sign - Public Transport 1 Panel,1234310,22425,,P.16
1239189,21,"-37.82961907563178, 144.96406241965494",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82961908,144.96406241965494,,,,1,1,0,,,,,,"{""coordinates"": [144.96406241965494, -37.82961907563178], ""type"": ""Point""}",0,73.04996609,115,Signage,Sign - Public Transport,13942,,537240,,Sign - Public Transport 1 Panel,1239189,22459,,P.16
1235307,21,"-37.802508730068354, 144.92456498204757",Sign - Public Transport 1 Panel Bus Stop Type 13,,,,-37.80250873,144.92456498204757,,,,1,1,0,,,,,,"{""coordinates"": [144.92456498204757, -37.802508730068354], ""type"": ""Point""}",0,35.14735701,162,Signage,Sign - Public Transport,13987,,110970,,Sign - Public Transport 1 Panel,1235307,21680,,P.16
1245209,21,"-37.82069471465366, 144.92473362878667",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82069471,144.92473362878667,,,,1,1,0,,,,,,"{""coordinates"": [144.92473362878667, -37.82069471465366], ""type"": ""Point""}",0,9.08151028,51,Signage,Sign - Public Transport,15587,,637267,,Sign - Public Transport 1 Panel,1245209,22156,,P.16
1241441,21,"-37.8003609261965, 144.97442342241808",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80036093,144.97442342241808,,,,1,1,0,,,,,,"{""coordinates"": [144.97442342241808, -37.8003609261965], ""type"": ""Point""}",0,11.93225984,159,Signage,Sign - Public Transport,15760,,106922,,Sign - Public Transport 1 Panel,1241441,20608,,P.16
1249814,21,"-37.79830746372871, 144.94633943083986",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79830746,144.94633943083986,,,,1,1,0,,,,,,"{""coordinates"": [144.94633943083986, -37.79830746372871], ""type"": ""Point""}",0,16.62867695,349,Signage,Sign - Public Transport,16213,,516357,,Sign - Public Transport 1 Panel,1249814,22517,,P.16
1272248,21,"-37.825833042409954, 144.9666164228847",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82583304,144.9666164228847,,,,1,1,0,,,,,,"{""coordinates"": [144.9666164228847, -37.825833042409954], ""type"": ""Point""}",0,16.64400973,127,Signage,Sign - Public Transport,16400,,110623,,Sign - Public Transport 1 Panel,1272248,22121,,P.16
