id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: GIS_ID,Custom Field: DESCRIPTION_BIKE,Custom Field: ASSET_CLASS,Custom Field: ASSET_TYPE,Custom Field: MODEL_NO,Custom Field: MODEL_DESCR,Custom Field: DIVISION,Custom Field: COMPANY,Custom Field: CONDITION_RATING,Custom Field: EVALUATION_DATE,Custom Field: EASTING,Custom Field: NORTHING,Custom Field: UploadDate
1450099,21,"-37.80626676767658, 144.96046574963262","Victoria Street between Bouverie Street and Elizabeth Street approximately 3m SW of Shop 1, 204-208 Victoria Street, Carlton, 3053",,,,-37.80626677,144.96046574963262,,,0,Bicycle Rails,1,1,,,,,,1450099,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.15,30/4/2021,320454.78,5813720.38,14/8/2021
1744273,21,"-37.8037867503861, 144.96011317131695","Barry Street between Leicester Street and Pelham Street approximately 15m East of The University of Melbourne, Ground, Part Level 1 & Level 2-3, 11 Barry Street, Carlton, 3053",,,,-37.80378675,144.96011317131695,,,0,Bicycle Rails,1,1,,,,,,1744273,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.95,30/4/2021,320417.73,5813994.9,14/8/2021
1073878,21,"-37.804202326524305, 144.9609430177689","Queensberry Street between Bouverie Street and Leicester Street approximately 4m SE of Queensberry Childrens Centre, Gnd & Flr1, 224-252 Queensberry Street, Carlton, 3053",,,,-37.80420233,144.9609430177689,,,0,Bicycle Rails,1,1,,,,,,1073878,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.09,30/4/2021,320491.8,5813950.38,14/8/2021
1546838,21,"-37.79496062453778, 144.97446634254462","Station Street between Kay Street and Princes Street approximately 5m West of 102 Station Street, Carlton, 3053",,,,-37.79496062,144.97446634254462,,,0,Bicycle Rails,1,1,,,,,,1546838,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321660.22,5815001.79,14/8/2021
1723211,21,"-37.793438783706016, 144.96660006655955","Intersection of Cardigan Street and Lytton Street approximately 77m NW of 21 Lytton Street, Carlton, 3053",,,,-37.79343878,144.96660006655955,,,0,Bicycle Rails,1,1,,,,,,1723211,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,2.95,30/4/2021,320963.88,5815155.62,14/8/2021
1074922,21,"-37.801566665315896, 144.96285463160712","Lincoln Square North between Swanston Street and Bouverie Street approximately 49m SE of Lincoln Bakery Cafe, 154 Bouverie Street, Carlton, 3053",,,,-37.80156667,144.96285463160712,,,0,Bicycle Rails,1,1,,,,,,1074922,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.15,30/4/2021,320653.73,5814246.52,14/8/2021
1450100,21,"-37.806277624657675, 144.9605618824124","Victoria Street between Bouverie Street and Elizabeth Street approximately 7m SE of Shop 1, 204-208 Victoria Street, Carlton, 3053",,,,-37.80627762,144.9605618824124,,,0,Bicycle Rails,1,1,,,,,,1450100,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.15,30/4/2021,320463.27,5813719.36,14/8/2021
1656136,21,"-37.79873359666307, 144.96412405616883","Swanston Street between Grattan Street and Faraday Street approximately 29m NW of Sparks Melbourne, 750 Swanston Street, Carlton, 3053",,,,-37.7987336,144.96412405616883,,,0,Bicycle Rails,1,1,,,,,,1656136,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.15,30/4/2021,320758.65,5814563.33,14/8/2021
1073840,21,"-37.803383989534126, 144.96332931199981","Swanston Street between Queensberry Street and Lincoln Square South approximately 16m SE of 5 Lincoln Square South, Carlton, 3053",,,,-37.80338399,144.9633293119998,,,0,Bicycle Rails,1,1,,,,,,1073840,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,3.15,30/4/2021,320699.92,5814045.77,14/8/2021
1755789,21,"-37.80158999391, 144.9630779610998","Lincoln Square North between Swanston Street and Bouverie Street approximately 64m South of 19-25 Church Street, Carlton, 3053",,,,-37.80158999,144.9630779610998,,,0,Bicycle Rails,1,1,,,,,,1755789,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320673.45,5814244.36,14/8/2021
