census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2023,2524,615808,615808,512 Macaulay Road KENSINGTON VIC 3031,Kensington,Argi Cafe By Lady G,512 Macaulay Road KENSINGTON VIC 3031,4511,Cafes and Restaurants,Seats - Outdoor,4,144.92913776625,-37.79408029728273,"{'lon': 144.92913776625, 'lat': -37.79408029728273}"
2023,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Dominos Pizza Melbourne CBD,553 Flinders Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,8,144.9565137522286,-37.8209790437,"{'lon': 144.9565137522286, 'lat': -37.8209790437}"
2023,6,110655,110655,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Melbourne (CBD),Pilgrim Bar,Vault 15-19 Princes Walk MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,130,144.96865384918814,-37.81867874765,"{'lon': 144.96865384918814, 'lat': -37.81867874765}"
2023,6,578319,573333,Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Chocolate Buddha,"Tenancy 22, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,80,144.96994164279243,-37.817777826050005,"{'lon': 144.96994164279243, 'lat': -37.817777826050005}"
2023,6,578323,573333,The Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Time Out Fed Square,"Tenancy 30, Square Federation Square 2 Swanston Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.96994164279243,-37.817777826050005,"{'lon': 144.96994164279243, 'lat': -37.817777826050005}"
2023,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Kobab Korean Kitchen,"Shop 2, 15 William Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,12,144.9591980656,-37.81929390624698,"{'lon': 144.9591980656, 'lat': -37.81929390624698}"
2023,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Mokaa,"Shop 3-4, 15 William Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,16,144.9591980656,-37.81929390624698,"{'lon': 144.9591980656, 'lat': -37.81929390624698}"
2023,14,103165,103165,1-5 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Pho Flinders Express,290 Flinders Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,38,144.96460797480603,-37.8180566348,"{'lon': 144.96460797480603, 'lat': -37.8180566348}"
2023,14,108114,108114,28-38 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cm & Co Coffee Roasters,"Shop 2, Ground 34 Queen Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,36,144.9624374712571,-37.81798972045,"{'lon': 144.9624374712571, 'lat': -37.81798972045}"
2023,14,108115,108115,20-26 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Maha Restaurant,Basement 21-27 Bond Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,80,144.96253029605134,-37.8181930679,"{'lon': 144.96253029605134, 'lat': -37.8181930679}"
2023,14,108117,108117,10-16 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Paper Tiger Espresso Bar,Kiosk Lobby 10 Queen Street MELBOURNE VIC 3000,4512,Takeaway Food Services,Seats - Indoor,10,144.96262951473085,-37.8184104211,"{'lon': 144.96262951473085, 'lat': -37.8184104211}"
2023,15,103326,103326,Carlow House 281-291 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Osaka Bench,"Shop 6, 289 Flinders Lane MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Outdoor,6,144.96493307630843,-37.81718670675,"{'lon': 144.96493307630843, 'lat': -37.81718670675}"
