Latitude,Longitude,Geo Shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt_,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,Title,description,Category,Approved,Address,Seats,Venue_Type,Indoor_Outdoor,Description
-37.84409411,144.9812504,"{""coordinates"":[144.98125044044048,-37.84409411042584],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 20 West_T9_T6_Cs1_M1,0,N,N,Y,72,0,Y,,Y,,N,0,M,FP - Lawn 20 West_T9_T6_Cs1_M1,Fawkner Park:  FP - Lawn 20 West_T9_T6_Cs1_M1,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84409411,144.9812504,"{""coordinates"":[144.98125044044048,-37.84409411042584],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 20 East_T5_T7_M2_Ct4,0,N,N,Y,93,0,Y,,Y,,N,0,M,FP - Lawn 20 East_T5_T7_M2_Ct4,Fawkner Park:  FP - Lawn 20 East_T5_T7_M2_Ct4,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84459028,144.982861,"{""coordinates"":[144.98286097598913,-37.844590280668804],""type"":""Point""}",103756,N,Fawkner Park,0.0,Y,Fawkner Park:  FP - Lawn 21_T8_S3,0,Y,N,Y,67,0,Y,,Y,,N,0,M,FP - Lawn 21_T8_S3,Fawkner Park:  FP - Lawn 21_T8_S3,Event: Y | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.80287,144.95914,"{""coordinates"":[144.95914,-37.80287],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,N,,,,,,Seven Seeds Coffee Roasters,Event: Y | Bookable: N | Region: Carlton,Selected,1,"114 Berkeley St, Carlton VIC 3053",80,Cafe,Both,Specialty coffee roastery & cafe; popular student spot near UniMelb.
-37.8048071,144.9614494,"{""coordinates"":[144.9614494,-37.8048071],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,Y,,,,,,Humble Rays,Event: Y | Bookable: Y | Region: Carlton,Selected,1,"71 Bouverie St, Carlton VIC 3053",70,Cafe,Indoor,All-day brunch favourite; accepts bookings.
-37.8035,144.963,"{""coordinates"":[144.963,-37.8035],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,Y,,,,,,Hotel Lincoln,Event: Y | Bookable: Y | Region: Carlton,Selected,1,"91 Cardigan St, Carlton VIC 3053",120,Pub,Both,Iconic Carlton pub with dining room; takes reservations.
-37.8002,144.9719,"{""coordinates"":[144.9719,-37.8002],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,Y,,,,,,Capitano,Event: Y | Bookable: Y | Region: Carlton,Selected,1,"421 Rathdowne St, Carlton VIC 3053",90,Restaurant,Indoor,Modern Italian; bookings essential for dinner.
-37.7976905,144.9682477,"{""coordinates"":[144.9682477,-37.7976905],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,N,,,,,,Vertue Coffee Roasters,Event: Y | Bookable: N | Region: Carlton,Selected,1,"8 Raffa Pl, Carlton VIC 3053",60,Cafe,Indoor,Hidden roastery-cafe down a laneway; great brunch.
-37.7963,144.9679,"{""coordinates"":[144.9679,-37.7963],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,N,,,,,,Heartattack and Vine,Event: Y | Bookable: N | Region: Carlton,Selected,1,"329 Lygon St, Carlton VIC 3053",40,Cafe/Bar,Both,European-style cafe & wine bar; walk-ins.
-37.7978487,144.9684975,"{""coordinates"":[144.9684975,-37.7978487],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,N,,,,,,Brunetti Classico (Carlton),Event: Y | Bookable: N | Region: Carlton,Selected,1,"380 Lygon St, Carlton VIC 3053",250,Cafe,Both,Large Italian cafe & pasticceria on Lygon Street.
-37.8008,144.9707,"{""coordinates"":[144.9707,-37.8008],""type"":""Point""}",,N,Carlton,,Y,,,,,,,,,,Y,,,,,,D.O.C Pizza & Mozzarella Bar,Event: Y | Bookable: Y | Region: Carlton,Selected,1,"295 Drummond St, Carlton VIC 3053",80,Restaurant,Indoor,Iconic pizza bar; bookings available; walk-ins welcome.
