census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,lng,lat,location,map_id,infoopen,category,approved,retina
2023,358,109827,109827,320-322 Victoria Street NORTH MELBOURNE VIC 3051,North Melbourne,Kebab Connection,Ground 320 Victoria Street NORTH MELBOURNE VIC 3051,4512,Takeaway Food Services,Seats - Indoor,17,144.9554944807,-37.80560869496135,"{'lon': 144.9554944807, 'lat': -37.80560869496135}",21,0,"Hospitality, Seats - Indoor, Small (1-20 seats), Takeaway Food Services",1,1
2023,360,102034,102034,1-3 Cobden Street NORTH MELBOURNE VIC 3051,North Melbourne,Yeonga,1-3 Cobden Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,150,144.95692253646092,-37.80560495835,"{'lon': 144.95692253646092, 'lat': -37.80560495835}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,377,103816,103816,65-67 Flemington Road NORTH MELBOURNE VIC 3051,North Melbourne,New Lanna Thai,65 Flemington Road NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Outdoor,8,144.95400708187265,-37.79936515035,"{'lon': 144.95400708187265, 'lat': -37.79936515035}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,410,105083,105083,1-9 Dryburgh Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Sassy Italian Restaurant,1-7 Dryburgh Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,100,144.94246941326844,-37.806768640399994,"{'lon': 144.94246941326844, 'lat': -37.806768640399994}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,424,109706,109706,297-307 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Warung Agus,Part Ground 305-307 Victoria Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,60,144.95137606189667,-37.80564241735,"{'lon': 144.95137606189667, 'lat': -37.80564241735}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,435,109683,109683,183-185 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Sanhe Congee,Part Ground 185 Victoria Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Indoor,28,144.9554425353,-37.806049021245805,"{'lon': 144.9554425353, 'lat': -37.806049021245805}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,904,556742,556742,419-443 Royal Parade PARKVILLE VIC 3052,Parkville,The Parkmore Hotel,419-443 Royal Parade PARKVILLE VIC 3052,4400,Accommodation,Seats - Indoor,40,144.95881536455315,-37.78289819125,"{'lon': 144.95881536455315, 'lat': -37.78289819125}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Accommodation",1,1
2023,913,106772,106772,52 Morrah Street PARKVILLE VIC 3052,Parkville,Cafe Piccolina,52 Morrah Street PARKVILLE VIC 3052,4511,Cafes and Restaurants,Seats - Outdoor,28,144.9556720488,-37.7952507191613,"{'lon': 144.9556720488, 'lat': -37.7952507191613}",21,0,"Hospitality, Seats - Outdoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,919,103256,103256,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,The Loft @ VCCC,Part Level 7 305 Grattan Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.95667136729958,-37.80018542705,"{'lon': 144.95667136729958, 'lat': -37.80018542705}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,920,618951,618951,Royal Womens Hospital 18-22 Flemington Road PARKVILLE VIC 3050,Parkville,Isabella,"Shop 1, 20 Flemington Road PARKVILLE VIC 3050",4511,Cafes and Restaurants,Seats - Outdoor,36,144.9550028866969,-37.7988527894,"{'lon': 144.9550028866969, 'lat': -37.7988527894}",21,0,"Hospitality, Seats - Outdoor, Medium (21-50 seats), Cafes and Restaurants",1,1
