id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,Unnamed: 27,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,Unnamed: 33,model_no
1241401,21,"-37.79800228540994, 144.9743090963708",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.79800229,144.9743090963708,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9743090963708, -37.79800228540994], ""type"": ""Point""}",0,3.99804952,220,Signage,Sign - Public Transport,30102,,511049,,Sign - Public Transport 1 Panel,1241401,20597,,P.16
1257190,21,"-37.80557177648884, 144.95351041136576",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80557178,144.95351041136576,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95351041136576, -37.80557177648884], ""type"": ""Point""}",0,17.83195393,133,Signage,Sign - Public Transport,30512,,109819,,Sign - Public Transport 1 Panel,1257190,20960,,P.16
1248508,21,"-37.79991202015577, 144.95743395487568",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79991202,144.95743395487568,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95743395487568, -37.79991202015577], ""type"": ""Point""}",0,40.31790809,340,Signage,Sign - Public Transport,32141,,633969,,Sign - Public Transport 1 Panel,1248508,21551,,P.16
1575551,21,"-37.80077767616837, 144.96646752265008",Sign - Public Transport 1 Panel Bus Stop Type 1,,,,-37.80077768,144.96646752265008,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.96646752265008, -37.80077767616837], ""type"": ""Point""}",0,6.80612614,297,Signage,Sign - Public Transport,32819,,515675,,Sign - Public Transport 1 Panel,1575551,20757,,P.16
1252536,21,"-37.78737016259562, 144.96918092237397",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78737016,144.96918092237397,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.96918092237397, -37.78737016259562], ""type"": ""Point""}",0,0.0,0,Signage,Sign - Public Transport,39748,,0,,Sign - Public Transport 1 Panel,1252536,22508,,P.16
1244489,21,"-37.77687767673642, 144.94947531108608",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.77687768,144.94947531108608,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94947531108608, -37.77687767673642], ""type"": ""Point""}",0,13.72525672,178,Signage,Sign - Public Transport,40010,,639767,,Sign - Public Transport 1 Panel,1244489,22398,,P.16
1249762,21,"-37.796717481892664, 144.94652849185758",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79671748,144.94652849185758,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94652849185758, -37.796717481892664], ""type"": ""Point""}",0,14.59503731,215,Signage,Sign - Public Transport,40643,,565421,,Sign - Public Transport 1 Panel,1249762,20907,,P.16
1234772,21,"-37.79582851441957, 144.94131248652099",Sign - Public Transport 1 Panel Bus Stop Type 12,,,,-37.79582851,144.941312486521,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.94131248652099, -37.79582851441957], ""type"": ""Point""}",0,23.9508819,78,Signage,Sign - Public Transport,42403,,617311,,Sign - Public Transport 1 Panel,1234772,21324,,P.16
1240253,21,"-37.80516590907756, 144.9660313973566",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.80516591,144.9660313973566,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.9660313973566, -37.80516590907756], ""type"": ""Point""}",0,13.87881868,251,Signage,Sign - Public Transport,43543,,521664,,Sign - Public Transport 1 Panel,1240253,20522,,P.16
1252307,21,"-37.792410297921826, 144.95854327429197",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.7924103,144.95854327429197,,,0,Bus Stops,1,1,,,,,,"{""coordinates"": [144.95854327429197, -37.792410297921826], ""type"": ""Point""}",0,57.00969655,177,Signage,Sign - Public Transport,27861,,515020,,Sign - Public Transport 1 Panel,1252307,22372,,P.16
