id,no_smoking,level_1_na,addresspt1,event,title,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,lng,lat,map_id,infoopen,category,approved,retina
107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 9_Ryder Ct_S1,0,N,N,N,266,0,Y,,Y,,N,0,L,RP - Lawn 9_Ryder Ct_S1,144.9552191787,-37.7799047142,21,0,1,1,1
108268,N,Carlton Gardens,78.59724285,N,Carlton Gardens:  CG - Lawn 12,0,N,N,N,30,546082,,,Y,,Y,0,L,CG - Lawn 12,144.9701635503,-37.806649556,21,0,1,1,1
107426,N,Royal Park,63.14398009,N,Royal Park:  RP - Ross Straw Field S5 (on Ross Straw BB),181,N,N,N,261,106428,Y,,Y,,N,0,L,RP - Ross Straw Field S5 (on Ross Straw BB),144.9426141521,-37.7855695592,21,0,1,1,1
107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field B2 West,0,N,N,N,265,0,Y,,Y,,N,0,L,RP - Ross Straw Field B2 West,144.9427921184,-37.7839840173,21,0,1,1,1
107426,N,Royal Park,57.88822249,N,Royal Park:  RP - Lawn 6_Bourke and Wills,116,N,N,N,241,587540,Y,,Y,,N,0,L,RP - Lawn 6_Bourke and Wills,144.9552366716,-37.7869706566,21,0,1,1,1
106290,N,Other Park Locations,10.18379338,Y,Other Park Locations:  Macarthur Square,70,N,N,N,378,106290,,,Y,,N,0,L,Macarthur Square,144.9715672993,-37.7983661654,21,0,1,1,1
107696,N,Princes Park,0.0,Y,Princes Park:  PP - Lawn 1_S4,0,Y,N,Y,214,0,Y,,Y,,N,0,M,PP - Lawn 1_S4,144.9609096149,-37.7903005805,21,0,1,1,1
107426,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field 2 Sth_Ct,0,N,N,N,263,0,Y,,Y,,N,0,L,RP - Ross Straw Field 2 Sth_Ct,144.9427921184,-37.7839840173,21,0,1,1,1
108268,N,Carlton Gardens,54.57055686,N,Carlton Gardens:  CG - Lawn 11,294,N,N,N,29,546082,,,Y,,Y,0,L,CG - Lawn 11,144.9708210445,-37.8062060922,21,0,1,1,1
107696,N,Princes Park,0.0,N,Princes Park:  PP -  S3,0,N,N,N,212,0,Y,,Y,,N,0,M,PP -  S3,144.9612333391,-37.7878801383,21,0,1,1,1
107696,N,Princes Park,61.44025708,Y,Princes Park:  PP - Lawn 6,214,Y,N,N,219,526307,N,,Y,,N,0,M,PP - Lawn 6,144.961053708,-37.7786467047,21,0,1,1,1
110940,N,Other Park Locations,39.4869707,Y,Other Park Locations:  Clunies Ross Reserve (The Avenue),264,N,N,N,352,110940,,,Y,,N,0,L,Clunies Ross Reserve (The Avenue),144.9574659758,-37.7888362465,21,0,1,1,1
106339,N,Other Park Locations,42.40450422,Y,Other Park Locations:  Clayton Reserve,64,N,N,Y,351,106339,,,Y,,N,0,L,Clayton Reserve,144.939119289,-37.7963584532,21,0,1,1,1
110909,N,Other Park Locations,13.33835688,Y,Other Park Locations:  Bedford Street Reserve,137,N,N,N,343,110909,,,Y,,N,0,L,Bedford Street Reserve,144.9555041821,-37.8028169819,21,0,1,1,1
