lat,lng,Geo Shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt_,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,Title,description,Category,Approved,Address,Seats,Venue_Type,Indoor_Outdoor,Description,map_id,infoopen,category,approved,retina
-37.78589363,144.9625708,"{""coordinates"":[144.96257078751347,-37.78589363291953],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP - Nets (2) Tennis Courts,0.0,N,N,N,1342.0,0.0,Y,,Y,,N,0.0,M,PP - Nets (2) Tennis Courts,Princes Park:  PP - Nets (2) Tennis Courts,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78651884,144.9549599,"{""coordinates"":[144.9549599190524,-37.78651883720741],""type"":""Point""}",107426.0,N,Royal Park,2.43705273,N,Royal Park:  RP - Lawn 6_Brens Pavillion,87.0,N,N,N,285.0,587540.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Brens Pavillion,Royal Park:  RP - Lawn 6_Brens Pavillion,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78664888,144.9612404,"{""coordinates"":[144.96124036180393,-37.78664887784743],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP - Lawn 2_Summer Touch (6),0.0,N,N,N,215.0,0.0,Y,,Y,,N,0.0,M,PP - Lawn 2_Summer Touch (6),Princes Park:  PP - Lawn 2_Summer Touch (6),Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78697066,144.9552367,"{""coordinates"":[144.955236671582,-37.78697065657136],""type"":""Point""}",107426.0,N,Royal Park,57.88822249,N,Royal Park:  RP - Lawn 6_Bourke and Wills,116.0,N,N,N,241.0,587540.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Bourke and Wills,Royal Park:  RP - Lawn 6_Bourke and Wills,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78700392,144.9539298,"{""coordinates"":[144.95392976581286,-37.78700392266655],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Brens Ct_F4,0.0,N,N,N,253.0,0.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Brens Ct_F4,Royal Park:  RP - Lawn 6_Brens Ct_F4,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.7874642,144.9558291,"{""coordinates"":[144.95582905318707,-37.7874641957267],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Smith Ct1_R1,0.0,N,N,N,255.0,0.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Smith Ct1_R1,Royal Park:  RP - Lawn 6_Smith Ct1_R1,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78788014,144.9612333,"{""coordinates"":[144.9612333391193,-37.78788013831968],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP -  S2,0.0,N,N,N,211.0,0.0,Y,,Y,,N,0.0,M,PP -  S2,Princes Park:  PP -  S2,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78788014,144.9612333,"{""coordinates"":[144.9612333391193,-37.78788013831968],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP -  S3,0.0,N,N,N,212.0,0.0,Y,,Y,,N,0.0,M,PP -  S3,Princes Park:  PP -  S3,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78788014,144.9612333,"{""coordinates"":[144.9612333391193,-37.78788013831968],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP - Ct2,0.0,N,N,N,207.0,0.0,Y,,Y,,N,0.0,M,PP - Ct2,Princes Park:  PP - Ct2,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78883625,144.957466,"{""coordinates"":[144.9574659757651,-37.7888362464939],""type"":""Point""}",110940.0,N,Other Park Locations,39.4869707,Y,Other Park Locations:  Clunies Ross Reserve (The Avenue),264.0,N,N,N,352.0,110940.0,,,Y,,N,0.0,L,Clunies Ross Reserve (The Avenue),Other Park Locations:  Clunies Ross Reserve (The Avenue),Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.78969725,144.9606889,"{""coordinates"":[144.96068893885598,-37.78969724504652],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP - Crawford_Ct3_F2,0.0,N,N,Y,208.0,0.0,Y,,Y,,N,0.0,M,PP - Crawford_Ct3_F2,Princes Park:  PP - Crawford_Ct3_F2,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.79030058,144.9609096,"{""coordinates"":[144.9609096148945,-37.790300580548156],""type"":""Point""}",107696.0,N,Princes Park,0.0,Y,Princes Park:  PP - Lawn 1_S4,0.0,Y,N,Y,214.0,0.0,Y,,Y,,N,0.0,M,PP - Lawn 1_S4,Princes Park:  PP - Lawn 1_S4,Event: Y | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.79092905,144.9538001,"{""coordinates"":[144.95380005501625,-37.79092904752804],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 2_Native Grassland,0.0,N,N,Y,237.0,0.0,N,,Y,,N,0.0,L,RP - Lawn 2_Native Grassland,Royal Park:  RP - Lawn 2_Native Grassland,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.79219452,144.9475991,"{""coordinates"":[144.94759906602815,-37.79219451711191],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 13_Flem Road_Cs1_S3,0.0,N,N,N,257.0,0.0,Y,,Y,,N,0.0,L,RP - Lawn 13_Flem Road_Cs1_S3,Royal Park:  RP - Lawn 13_Flem Road_Cs1_S3,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.79315161,144.9740936,"{""coordinates"":[144.9740936152342,-37.79315160624854],""type"":""Point""}",106893.0,N,Other Park Locations,11.21226994,Y,Other Park Locations:  Canning St Reserve (Neill St),279.0,N,N,N,348.0,580223.0,,,Y,,N,0.0,L,Canning St Reserve (Neill St),Other Park Locations:  Canning St Reserve (Neill St),Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
