id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: addresspt1,Custom Field: addresspt_,Custom Field: addressp_1,Custom Field: bookable,Custom Field: dog_off_le,Custom Field: dog_prohib,Custom Field: event,Custom Field: full_name,Custom Field: geo_shape,Custom Field: level_1_na,Custom Field: level_2_na,Custom Field: level_3_na,Custom Field: no_smoking,Custom Field: prop_id,Custom Field: roadseg_id,Custom Field: sport,Custom Field: sustainabi,Custom Field: training,Custom Field: venue_recn,Custom Field: wedding,ref,num_spaces,safe_city,Geo Shape,night_only
,21,"-37.813586439004, 144.96019551858",Queen Street between Little Bourke Street and Lonsdale Street,,,,-37.813586439004,144.96019551858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,11,Yes,"{""coordinates"": [144.96019551858, -37.813586439004], ""type"": ""Point""}",Yes
,21,"-37.816646162288, 144.962247915862",Collins Street between Elizabeth Street and Queen Street,,,,-37.816646162288,144.962247915862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,No,"{""coordinates"": [144.962247915862, -37.816646162288], ""type"": ""Point""}",No
,21,"-37.818033802568, 144.958043343215",Collins Street between William Street and King Street,,,,-37.818033802568,144.958043343215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6,No,"{""coordinates"": [144.958043343215, -37.818033802568], ""type"": ""Point""}",No
,21,"-37.816888213869, 144.967239025049",Swanston Street between Flinders Street and Flinders Lane,,,,-37.816888213869,144.967239025049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,No,"{""coordinates"": [144.967239025049, -37.816888213869], ""type"": ""Point""}",No
,21,"-37.822788619856, 144.960380145991",Crown Entertainment Complex,,,,-37.822788619856,144.960380145991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,3,No,"{""coordinates"": [144.960380145991, -37.822788619856], ""type"": ""Point""}",No
,21,"-37.819141148696, 144.953575920849",Collins Street between Spencer Street and Batmans Hill Drive,,,,-37.819141148696,144.953575920849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4,No,"{""coordinates"": [144.953575920849, -37.819141148696], ""type"": ""Point""}",No
,21,"-37.819407421255, 144.953274232669",Collins Street between Spencer Street and Batmans Hill Drive,,,,-37.819407421255,144.953274232669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,No,"{""coordinates"": [144.953274232669, -37.819407421255], ""type"": ""Point""}",No
,21,"-37.809750629726, 144.969622952391",Exhibition Street between Lonsdale Street and Little Lonsdale Street,,,,-37.809750629726,144.969622952391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,No,"{""coordinates"": [144.969622952391, -37.809750629726], ""type"": ""Point""}",No
,21,"-37.810148370021, 144.963949536235",Swanston Street between Little Lonsdale Street and La Trobe Street,,,,-37.810148370021,144.963949536235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6,No,"{""coordinates"": [144.963949536235, -37.810148370021], ""type"": ""Point""}",No
,21,"-37.816651294572, 144.952874990473",Spencer Street between Bourke Street and Little Bourke Street,,,,-37.816651294572,144.952874990473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,No,"{""coordinates"": [144.952874990473, -37.816651294572], ""type"": ""Point""}",No
,21,"-37.799458157772, 144.956007723164",Grattan Street between Flemington Road and Elizabeth Street,,,,-37.799458157772,144.956007723164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,No,"{""coordinates"": [144.956007723164, -37.799458157772], ""type"": ""Point""}",No
,21,"-37.817846448983, 144.960293300296",Market Street between Flinders Lane and Collins Street,,,,-37.817846448983,144.960293300296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,No,"{""coordinates"": [144.960293300296, -37.817846448983], ""type"": ""Point""}",No
,21,"-37.811898366701, 144.975326526788",St Andrews Place between Lansdowne Street and MacArthur Street,,,,-37.811898366701,144.975326526788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,3,No,"{""coordinates"": [144.975326526788, -37.811898366701], ""type"": ""Point""}",No
,21,"-37.808019550582, 144.947483718061",Roden Street between Adderley Street and Spencer Street,,,,-37.808019550582,144.947483718061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,5,No,"{""coordinates"": [144.947483718061, -37.808019550582], ""type"": ""Point""}",No
,21,"-37.815800816842, 144.982752695581",Clarendon Street between Wellington Parade and George Street,,,,-37.815800816842,144.982752695581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,6,No,"{""coordinates"": [144.982752695581, -37.815800816842], ""type"": ""Point""}",No
,21,"-37.80803193165, 144.955445459469",Peel Street between Dudley Street and Victoria Street,,,,-37.80803193165,144.955445459469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,No,"{""coordinates"": [144.955445459469, -37.80803193165], ""type"": ""Point""}",No
,21,"-37.813138356776, 144.967172710631",Bourke Street between Russell Street and Swanston Street,,,,-37.813138356776,144.967172710631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,No,"{""coordinates"": [144.967172710631, -37.813138356776], ""type"": ""Point""}",Yes
